Puffinus puffinus mauretanicus	https://www.gbif.org/species/6486580
Puffinus puffinus opisthomelas	https://www.gbif.org/species/6178233
Puffinus puffinus puffinus	https://www.gbif.org/species/6178243
Puffinus puffinus yelkouan	https://www.gbif.org/species/5722876
Puffinus raemdonckii	https://www.gbif.org/species/5935900
Puffinus spec	https://www.gbif.org/species/11056047
Puffinus spelaeus	https://www.gbif.org/species/5817149
Puffinus subalaris	https://www.gbif.org/species/5843962
Puffinus tedfordi	https://www.gbif.org/species/8665631
Puffinus tenuirostris	https://www.gbif.org/species/5229359
Puffinus yelkouan	https://www.gbif.org/species/5229377
Puffinus yelkouan mauretanicus	https://www.gbif.org/species/6486579
Puffinus yelkouan yelkouan	https://www.gbif.org/species/6486581
Sula bassana bassana	https://www.gbif.org/species/10966276
Sula bassana bassana	https://www.gbif.org/species/11390962
Sula bassana	https://www.gbif.org/species/4352320
